ai_health,average_confidence,bookmakers,brier_score,data_quality,leagues,log_loss,losses,maturity,open_bets,probability_samples,profit,settled_bets,sport,stake_sum,status,total_bets,win_rate,wins,yield
BUILDING,,23,,0.65,3,,192,READY,115,0,30.6819,423,baseball,488.97,READY,538,0.5461,231,0.0627
BUILDING,,9,,0.33,1,,9,EARLY,0,0,3.0754,18,basketball,10.14,READY,18,0.5,9,0.3033
EMPTY,,11,,0.35,2,,0,EMPTY,27,0,0.0,0,tennis,7.42,READY,27,,0,0.0
EMPTY,,10,,0.3,1,,0,EMPTY,116,0,0.0,0,hockey,44.13,READY,116,,0,0.0
BUILDING,,6,,0.3217,1,,10,EARLY,11,0,-1.2822,13,mma,10.09,READY,24,0.2308,3,-0.1271
EMPTY,,0,,0.0,0,,0,EMPTY,0,0,0.0,0,nfl,0.0,READY,0,,0,
