ai_health,average_confidence,bookmakers,brier_score,data_quality,leagues,log_loss,losses,maturity,open_bets,probability_samples,profit,settled_bets,sport,stake_sum,status,total_bets,win_rate,wins,yield
BUILDING,,24,,0.65,3,,622,READY,598,0,81.7625,1348,baseball,1712.14,READY,1946,0.5386,726,0.0478
BUILDING,,9,,0.3917,2,,15,EARLY,4,0,1.7854,25,basketball,13.78,READY,29,0.4,10,0.1296
BUILDING,,6,,0.4633,4,,7,EARLY,7,0,-0.964,8,tennis,6.35,READY,15,0.125,1,-0.1518
EMPTY,,11,,0.5,5,,0,EMPTY,288,0,0.0,0,hockey,106.88,READY,288,,0,0.0
EMPTY,,0,,0.0,0,,0,EMPTY,0,0,0.0,0,handball,0.0,READY,0,,0,
BUILDING,,1,,0.3017,1,,1,EARLY,0,0,-0.35,1,nfl,0.35,READY,1,0.0,0,-1.0
