datum_display,league,zapas,tip,market,kurz,prob_model,edge,implied_prob,fair_odds,ev_eur,risk_level,lh,la,vklad,bookmaker,ai_prob,score
10.05.2026 16:45,Eredivisie,For Sittard vs Zwolle,Over 2.5,totals,1.5,0.8291,0.24365,0.66667,1.206,7.31,HIGH,2.934,1.591,30.0,William Hill,0.56492,38.0713
08.05.2026 20:30,Bundesliga,Dortmund vs Ein Frankfurt,1,h2h,1.68,0.74402,0.24996,0.59524,1.344,7.35,HIGH,3.125,1.251,29.41,Unibet (FR),0.56492,37.593
10.05.2026 19:30,Bundesliga,Mainz vs Union Berlin,1,h2h,1.73,0.72089,0.24714,0.57803,1.387,6.69,HIGH,2.418,0.846,27.08,888sport,0.56492,37.0572
09.05.2026 13:30,Premier League,Liverpool vs Chelsea,1,h2h,1.78,0.62494,0.11239,0.5618,1.6,1.3,MEDIUM,2.534,1.38,11.53,Winamax (FR),0.52007,24.2276
