id,created_at,sport,league,external_event_id,event,home_team,away_team,market,selection,bookmaker,odds,probability,start_time,model_version,result,profit_units,final_score,settled_at
1,2026-09-09T18:54:55.171107+00:00,handball,handball_germany_bundesliga,90f38614be4e09fbcaf295d19dad7aa0,ThSV Eisenach vs SG BBM Bietigheim,ThSV Eisenach,SG BBM Bietigheim,h2h,ThSV Eisenach,Unibet (NL),1.49,0.638303663709336,2026-09-10T17:00:00Z,market_favourite_v1,OPEN,,,
2,2026-09-09T18:54:55.174995+00:00,handball,handball_germany_bundesliga,b25b95b8dc42bb65a28ff28ed2dc72c4,TBV Lemgo vs SG Flensburg-Handewitt,TBV Lemgo,SG Flensburg-Handewitt,h2h,SG Flensburg-Handewitt,Unibet (NL),1.7,0.5698351040809825,2026-09-10T17:00:00Z,market_favourite_v1,OPEN,,,
3,2026-09-09T18:54:55.178859+00:00,handball,handball_germany_bundesliga,be4ab0faaec5ed819daecbbf5756d329,Rhein-Neckar Löwen vs HBW Balingen-Weilstetten,Rhein-Neckar Löwen,HBW Balingen-Weilstetten,h2h,Rhein-Neckar Löwen,Winamax (DE),1.19,0.7753361432713939,2026-09-11T18:00:00Z,market_favourite_v1,OPEN,,,
4,2026-09-09T18:54:55.182838+00:00,handball,handball_germany_bundesliga,b73d16b614da5162b9db8a4e16f8b106,THW Kiel vs TSV Hannover-Burgdorf,THW Kiel,TSV Hannover-Burgdorf,h2h,THW Kiel,Winamax (DE),1.31,0.7071038459845315,2026-09-12T17:00:00Z,market_favourite_v1,OPEN,,,
5,2026-09-09T18:54:55.186331+00:00,handball,handball_germany_bundesliga,8d313be3dad0ce0075ec8342e38ac5e0,SC Magdeburg vs HSG Wetzlar,SC Magdeburg,HSG Wetzlar,h2h,SC Magdeburg,Winamax (DE),1.02,0.8914424209537284,2026-09-13T13:00:00Z,market_favourite_v1,OPEN,,,
6,2026-09-09T18:54:55.189783+00:00,handball,handball_germany_bundesliga,6918e64e3ab348f05e63a801c2295be5,HC Erlangen vs Bergischer HC,HC Erlangen,Bergischer HC,h2h,HC Erlangen,Winamax (DE),1.43,0.6415820927660003,2026-09-13T14:30:00Z,market_favourite_v1,OPEN,,,
7,2026-09-09T18:54:55.193258+00:00,handball,handball_germany_bundesliga,abaf04a1af1a05ba249b779af9701fc4,HSV Hamburg vs Frisch Auf Göppingen,HSV Hamburg,Frisch Auf Göppingen,h2h,HSV Hamburg,Tipico,1.47,0.6368341576782095,2026-09-13T14:30:00Z,market_favourite_v1,OPEN,,,
8,2026-09-09T18:54:55.196861+00:00,handball,handball_germany_bundesliga,bf4c70ca38548616953fda3d2a942f42,Füchse Berlin vs VfL Gummersbach,Füchse Berlin,VfL Gummersbach,h2h,Füchse Berlin,Marathon Bet,1.16,0.8026353440929112,2026-09-13T16:00:00Z,market_favourite_v1,OPEN,,,
9,2026-09-09T18:54:55.200396+00:00,handball,handball_germany_bundesliga,74400e0499ce91c8390bf19616f83131,MT Melsungen vs TVB Stuttgart,MT Melsungen,TVB Stuttgart,h2h,MT Melsungen,Winamax (DE),1.21,0.7560204861103484,2026-09-13T16:00:00Z,market_favourite_v1,OPEN,,,
