team,league,matches,points_last_5,points_last_10,goals_for_last_5,goals_against_last_5,goals_for_last_10,goals_against_last_10,xg_for_last_5,xga_last_5,xg_for_last_10,xga_last_10,home_points_last_5,away_points_last_5,wins_last_5,draws_last_5,losses_last_5,wins_last_10,draws_last_10,losses_last_10,form_score,attack_form,defense_form,last_result,last_updated
Pumas,Liga MX,1,3,3,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0,3,1,0,0,1,0,0,1.0,1.4814814814814814,0.7407407407407407,W,2026-07-22T08:36:08+00:00
Atletico Mineiro,Brazil Serie A,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,1,0,0.3333333333333333,0.7407407407407407,0.7407407407407407,D,2026-07-22T08:36:08+00:00
Bahia,Brazil Serie A,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0,1,0,0.3333333333333333,0.7407407407407407,0.7407407407407407,D,2026-07-22T08:36:08+00:00
Coritiba,Brazil Serie A,1,0,0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,2.222222222222222,L,2026-07-23T08:37:11+00:00
Palmeiras,Brazil Serie A,1,3,3,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0,3,1,0,0,1,0,0,1.0,2.222222222222222,0.7407407407407407,W,2026-07-23T08:37:11+00:00
Sao Paulo,Brazil Serie A,1,0,0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,1.4814814814814814,L,2026-07-23T08:37:11+00:00
Atletico Paranaense,Brazil Serie A,1,3,3,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0,3,1,0,0,1,0,0,1.0,1.4814814814814814,0.7407407407407407,W,2026-07-23T08:37:11+00:00
FC Cincinnati,MLS,2,6,6,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,6,0,2,0,0,2,0,0,1.0,2.5,2.222222222222222,W,2026-07-23T08:37:12+00:00
Vancouver Whitecaps FC,MLS,2,0,0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,0,0,0,0,2,0,0,2,0.0,2.222222222222222,2.5,L,2026-07-23T08:37:12+00:00
Sporting Kansas City,MLS,1,3,3,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3,0,1,0,0,1,0,0,1.0,1.4814814814814814,0.7407407407407407,W,2026-07-23T08:37:12+00:00
Minnesota United FC,MLS,1,0,0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,1.4814814814814814,L,2026-07-23T08:37:12+00:00
Los Angeles FC,MLS,1,3,3,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3,0,1,0,0,1,0,0,1.0,2.222222222222222,0.7407407407407407,W,2026-07-23T08:37:12+00:00
Real Salt Lake,MLS,1,0,0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,2.222222222222222,L,2026-07-23T08:37:12+00:00
Inter Miami CF,MLS,1,3,3,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3,0,1,0,0,1,0,0,1.0,2.222222222222222,1.4814814814814814,W,2026-07-23T08:37:12+00:00
Chicago Fire,MLS,1,0,0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,0,0,0,0,1,0,0,1,0.0,1.4814814814814814,2.222222222222222,L,2026-07-23T08:37:12+00:00
Philadelphia Union,MLS,1,3,3,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3,0,1,0,0,1,0,0,1.0,2.222222222222222,0.7407407407407407,W,2026-07-23T08:37:12+00:00
New York Red Bulls,MLS,1,0,0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,2.222222222222222,L,2026-07-23T08:37:12+00:00
Charlotte FC,MLS,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,0,0,1,0,0,1,0,0.3333333333333333,1.4814814814814814,1.4814814814814814,D,2026-07-23T08:37:12+00:00
Atlanta United FC,MLS,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,0,1,0,0,1,0,0.3333333333333333,1.4814814814814814,1.4814814814814814,D,2026-07-23T08:37:12+00:00
Austin FC,MLS,2,6,6,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,6,0,2,0,0,2,0,0,1.0,2.222222222222222,0.7407407407407407,W,2026-07-23T08:37:12+00:00
Seattle Sounders FC,MLS,2,0,0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0,0,0,0,2,0,0,2,0.0,0.7407407407407407,2.222222222222222,L,2026-07-23T08:37:12+00:00
LA Galaxy,MLS,1,0,0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,2.222222222222222,L,2026-07-23T08:37:12+00:00
St. Louis City SC,MLS,1,3,3,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,0,3,1,0,0,1,0,0,1.0,2.222222222222222,0.7407407407407407,W,2026-07-23T08:37:12+00:00
New England Revolution,MLS,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0,0,1,0,0.3333333333333333,0.4,0.4,D,2026-07-23T08:37:12+00:00
Toronto FC,MLS,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0,0.3333333333333333,0.4,0.4,D,2026-07-23T08:37:12+00:00
Houston Dynamo,MLS,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,1,0,0,1,0,0.3333333333333333,0.7407407407407407,0.7407407407407407,D,2026-07-23T08:37:12+00:00
D.C. United,MLS,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0,1,0,0.3333333333333333,0.7407407407407407,0.7407407407407407,D,2026-07-23T08:37:12+00:00
Colorado Rapids,MLS,1,3,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3,0,1,0,0,1,0,0,1.0,0.7407407407407407,0.4,W,2026-07-23T08:37:12+00:00
San Diego FC,MLS,1,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,1,0,0,1,0.0,0.4,0.7407407407407407,L,2026-07-23T08:37:12+00:00
Columbus Crew SC,MLS,1,0,0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0,0,0,0,1,0,0,1,0.0,0.7407407407407407,1.4814814814814814,L,2026-07-23T08:37:12+00:00
New York City FC,MLS,1,3,3,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0,3,1,0,0,1,0,0,1.0,1.4814814814814814,0.7407407407407407,W,2026-07-23T08:37:12+00:00
Sarmiento de Junin,Argentina Primera Division,1,0,0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,0,0,0,0,1,0,0,1,0.0,1.4814814814814814,2.222222222222222,L,2026-07-24T08:33:49+00:00
Argentinos Juniors,Argentina Primera Division,1,3,3,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,0,3,1,0,0,1,0,0,1.0,2.222222222222222,1.4814814814814814,W,2026-07-24T08:33:49+00:00
