average_clv_probability,bookmaker,brier_score,bucket,hit_rate,league,log_loss,losses,samples,section,wins
0.018657755127804744,,0.20608335441131395,,0.2847222222222222,MLS,0.602818382543503,103,144,by_league,41
0.010808487146511168,,0.19345163936710974,,0.27058823529411763,Argentina Primera Division,0.5756948018765373,62,85,by_league,23
0.011164518607797127,,0.1968825126501059,,0.2692307692307692,Brazil Serie A,0.5828207745806269,38,52,by_league,14
0.013582705399946422,,0.18212712364962846,,0.2553191489361702,Championship,0.5523919061080552,35,47,by_league,12
0.006465099208993266,,0.17777003441742667,,0.2391304347826087,La Liga,0.54274766945843,35,46,by_league,11
0.004938514732563545,,0.21630929626463136,,0.3170731707317073,Eliteserien,0.6245023653681524,28,41,by_league,13
0.003589414446717365,,0.22140748074969777,,0.38461538461538464,Allsvenskan,0.6329167108455792,24,39,by_league,15
0.011788553625456073,,0.15807053122527936,,0.19444444444444445,League One,0.49934179467199713,29,36,by_league,7
0.016414451518113313,,0.23559857491665248,,0.3333333333333333,League Two,0.6655490834942915,24,36,by_league,12
0.027918252621574657,,0.2241163019669091,,0.34285714285714286,Liga MX,0.6407366859603005,23,35,by_league,12
0.008814963664637474,,0.18745280233711198,,0.2413793103448276,2. Bundesliga,0.5626535827079142,22,29,by_league,7
-0.008285094912502162,,0.17035030324378012,,0.2413793103448276,Danish Superliga,0.5262641266278874,22,29,by_league,7
0.014509153424030996,,0.23650746805798464,,0.4074074074074074,Turkish Super Lig,0.6665085287226704,16,27,by_league,11
-0.005709168996592517,,0.16021769806894864,,0.19230769230769232,J-League,0.5034066269513338,21,26,by_league,5
-0.007379304426943689,,0.20360025451213906,,0.32,Segunda Division,0.59747325219126,17,25,by_league,8
0.008475759617765238,,0.16182239176747973,,0.20833333333333334,Belgian Pro League,0.5059708283097024,19,24,by_league,5
-0.006991733074835857,,0.1828847313326488,,0.25,Swiss Super League,0.5541146893068154,18,24,by_league,6
-0.014189475588357743,,0.18872638627912994,,0.30434782608695654,Austrian Bundesliga,0.5643872612540343,16,23,by_league,7
-0.013773093643922964,,0.14470921556308106,,0.09523809523809523,Eredivisie,0.47073536782827397,19,21,by_league,2
0.020674333911922714,,0.1486110741377477,,0.14285714285714285,Ligue 1,0.48048089286345474,18,21,by_league,3
0.0016424482280034932,,0.19659042224646373,,0.23809523809523808,Ligue 2,0.5830811305130577,16,21,by_league,5
0.04205305312566534,,0.17886952575858617,,0.2,Premier League,0.5464504907901411,16,20,by_league,4
0.01475069028209339,,0.1539124632997223,,0.15789473684210525,Serie A,0.4921784765059116,16,19,by_league,3
