datum_display,league,zapas,tip,market,kurz,prob_model,prob_market,prob_final,edge,market_edge,implied_prob,fair_odds,ev_eur,risk_level,lh,la,vklad,bookmaker,ai_prob,elo_diff,line_move_pct,meta_confidence,score,explanation
17.05.2026 21:00,Ligue 1,Nantes vs Toulouse,2,h2h,2.67,0.44564,0.36337,0.42828,0.14352,0.08227,0.37453,2.335,0.16,MEDIUM,1.546,1.86,1.13,BetOnline.ag,,-50.23,0.0,0.7537,16.1197,value edge 14.4% vs implied 37.5%; model 44.6% vs market 36.3%; market edge 8.2%; fair odds 2.335 vs offered 2.67; ELO diff -50; line movement +0.00%; meta confidence 75.4%; stake capped by bankroll/segment/risk limits at 1.13 EUR
16.05.2026 15:30,Bundesliga,Werder Bremen vs Dortmund,2,h2h,2.1,0.61337,0.47159,0.52548,0.10351,0.14178,0.47619,1.903,0.13,MEDIUM,1.13,2.22,1.29,Betfair,,-145.02,0.05,0.8227,15.6416,value edge 10.4% vs implied 47.6%; model 61.3% vs market 47.2%; market edge 14.2%; fair odds 1.903 vs offered 2.1; ELO diff -145; line movement +5.00%; meta confidence 82.3%; stake capped by bankroll/segment/risk limits at 1.29 EUR
