timestamp,sport,league,match,pick,odds,bookmaker,edge,confidence,stake_u,model_p,market_p,signals,status
2026-08-03T15:55:38+02:00,mma,mma_mixed_martial_arts,Louie Sutherland vs Jose Montanha,Jose Montanha,2.400,Pinnacle,0.0783,81,2.50,0.4950,0.5040,ELO+xG+FORM+MKT,OPEN
2026-08-03T15:55:38+02:00,mma,mma_mixed_martial_arts,Juliana Miller vs Ravena Oliveira,Ravena Oliveira,3.150,BetOnline.ag,0.0645,76,1.00,0.3820,0.3897,ELO+xG+FORM+MKT,OPEN
