datum_display,league,zapas,tip,market,kurz,prob_model,prob_market,prob_final,edge,market_edge,implied_prob,fair_odds,ev_eur,risk_level,lh,la,vklad,bookmaker,ai_prob,score
10.05.2026 16:47,Eredivisie,NAC Breda vs Heerenveen,2,h2h,2.67,0.45003,0.36331,0.42968,0.14725,0.08673,0.37453,2.327,0.17,MEDIUM,1.554,1.887,1.15,Pinnacle,,15.6224
12.05.2026 21:30,La Liga,Osasuna vs Ath Madrid,1,h2h,2.5,0.5111,0.38366,0.45753,0.14381,0.12745,0.4,2.186,0.18,MEDIUM,1.937,1.318,1.23,William Hill,,15.5904
10.05.2026 21:00,Ligue 1,Metz vs Lorient,2,h2h,2.3,0.53891,0.43414,0.48653,0.11901,0.10477,0.43478,2.055,0.15,MEDIUM,1.253,1.998,1.3,Matchbook,,15.4903
10.05.2026 21:00,Ligue 1,Auxerre vs Nice,1,h2h,2.48,0.47853,0.39615,0.45192,0.12075,0.08238,0.40323,2.213,0.14,MEDIUM,1.478,0.975,1.15,Betfair,,15.155
10.05.2026 16:47,Eredivisie,Excelsior vs Volendam,Under 2.5,totals,2.25,0.56258,0.43224,0.49344,0.11024,0.13034,0.44444,2.027,0.14,MEDIUM,1.775,0.652,1.23,Tipico,,15.0176
11.05.2026 21:00,La Liga,Vallecano vs Girona,1,h2h,2.4,0.55909,0.39623,0.47805,0.14732,0.16287,0.41667,2.092,0.17,MEDIUM,1.648,0.829,1.13,William Hill,,14.6808
12.05.2026 21:00,Championship,Southampton vs Middlesbrough,1,h2h,2.3,0.59634,0.40861,0.49502,0.13856,0.18773,0.43478,2.02,0.15,MEDIUM,2.226,1.211,1.05,William Hill,,13.7729
10.05.2026 16:47,Eredivisie,Feyenoord vs AZ Alkmaar,1,h2h,2.02,0.69661,0.48314,0.55703,0.12519,0.21346,0.49505,1.795,0.14,MEDIUM,2.569,1.044,1.11,Betfair,,13.2081
