datum_display,league,zapas,tip,market,kurz,prob_model,prob_market,prob_final,edge,market_edge,implied_prob,fair_odds,ev_eur,risk_level,lh,la,vklad,bookmaker,ai_prob,score
10.05.2026 16:45,Eredivisie,NAC Breda vs Heerenveen,2,h2h,2.68,0.45003,0.36167,0.42903,0.14981,0.08836,0.37313,2.331,0.17,MEDIUM,1.554,1.887,1.15,BetOnline.ag,,15.685
12.05.2026 21:30,La Liga,Osasuna vs Ath Madrid,1,h2h,2.5,0.5111,0.38366,0.45753,0.14381,0.12745,0.4,2.186,0.18,MEDIUM,1.937,1.318,1.23,William Hill,,15.5904
10.05.2026 21:00,Ligue 1,Metz vs Lorient,2,h2h,2.3,0.53891,0.43391,0.48644,0.1188,0.105,0.43478,2.056,0.15,MEDIUM,1.253,1.998,1.3,Matchbook,,15.4838
10.05.2026 21:00,Ligue 1,Auxerre vs Nice,1,h2h,2.5,0.47853,0.3957,0.45174,0.12935,0.08283,0.4,2.214,0.15,MEDIUM,1.478,0.975,1.18,Betfair,,15.3852
10.05.2026 16:45,Eredivisie,Excelsior vs Volendam,Under 2.5,totals,2.34,0.56258,0.41691,0.48737,0.14045,0.14567,0.42735,2.052,0.18,MEDIUM,1.775,0.652,1.25,Matchbook,,15.236
11.05.2026 21:00,La Liga,Vallecano vs Girona,1,h2h,2.4,0.55909,0.39677,0.47827,0.14784,0.16232,0.41667,2.091,0.17,MEDIUM,1.648,0.829,1.13,William Hill,,14.7161
12.05.2026 21:00,Championship,Southampton vs Middlesbrough,1,h2h,2.3,0.59634,0.40842,0.49495,0.13838,0.18792,0.43478,2.02,0.15,MEDIUM,2.226,1.211,1.05,William Hill,,13.7609
10.05.2026 16:45,Eredivisie,Feyenoord vs AZ Alkmaar,1,h2h,2.04,0.69661,0.4802,0.55586,0.13396,0.21641,0.4902,1.799,0.15,MEDIUM,2.569,1.044,1.1,Matchbook,,13.3301
