datum_display,league,zapas,tip,market,kurz,prob_model,prob_market,prob_final,edge,market_edge,implied_prob,fair_odds,ev_eur,risk_level,lh,la,vklad,bookmaker,ai_prob,elo_diff,line_move_pct,meta_confidence,score,explanation
17.05.2026 21:00,Ligue 1,Nantes vs Toulouse,2,h2h,2.67,0.44564,0.3624,0.4279,0.14249,0.08324,0.37453,2.337,0.16,MEDIUM,1.546,1.86,1.13,BetOnline.ag,,-50.23,0.0,0.7549,16.0929,value edge 14.2% vs implied 37.5%; model 44.6% vs market 36.2%; market edge 8.3%; fair odds 2.337 vs offered 2.67; ELO diff -50; line movement +0.00%; meta confidence 75.5%; stake capped by bankroll/segment/risk limits at 1.13 EUR
16.05.2026 15:30,Bundesliga,Werder Bremen vs Dortmund,2,h2h,2.08,0.61337,0.47583,0.52716,0.09649,0.13754,0.48077,1.897,0.12,LOW,1.13,2.22,1.26,Betfair,,-145.02,0.04,0.8124,15.3199,value edge 9.6% vs implied 48.1%; model 61.3% vs market 47.6%; market edge 13.8%; fair odds 1.897 vs offered 2.08; ELO diff -145; line movement +4.00%; meta confidence 81.2%; stake capped by bankroll/segment/risk limits at 1.26 EUR
